year,state,county_name,Biden,Trump,mode
2020,TEXAS,SHACKELFORD,130,1484,TOTAL
2020,TEXAS,SHELBY,2068,7975,TOTAL
2020,TEXAS,SHERMAN,91,886,TOTAL
2020,TEXAS,SMITH,29615,69080,TOTAL
2020,TEXAS,SOMERVELL,768,4105,TOTAL
2020,TEXAS,STARR,9123,8247,TOTAL
2020,TEXAS,STEPHENS,397,3385,TOTAL
2020,TEXAS,STERLING,51,584,TOTAL
2020,TEXAS,STONEWALL,116,615,TOTAL
2020,TEXAS,SUTTON,322,1222,TOTAL
2020,TEXAS,SWISHER,478,1845,TOTAL
2020,TEXAS,TARRANT,411567,409741,TOTAL
2020,TEXAS,TAYLOR,14588,39547,TOTAL
2020,TEXAS,TERRELL,119,334,TOTAL
2020,TEXAS,TERRY,757,2812,TOTAL
2020,TEXAS,THROCKMORTON,82,806,TOTAL
2020,TEXAS,TITUS,2856,7570,TOTAL
2020,TEXAS,TOM GREEN,12239,32313,TOTAL
2020,TEXAS,TRAVIS,435860,161337,TOTAL
2020,TEXAS,TRINITY,1323,5579,TOTAL
2020,TEXAS,TYLER,1403,8194,TOTAL
2020,TEXAS,UPSHUR,2877,15809,TOTAL
2020,TEXAS,UPTON,170,1178,TOTAL
2020,TEXAS,UVALDE,4073,6174,TOTAL
2020,TEXAS,VAL VERDE,6771,8284,TOTAL
2020,TEXAS,VAN ZANDT,3516,22270,TOTAL
2020,TEXAS,VICTORIA,10380,23358,TOTAL
2020,TEXAS,WALKER,7884,15375,TOTAL
2020,TEXAS,WALLER,8191,14260,TOTAL
2020,TEXAS,WARD,764,3241,TOTAL
2020,TEXAS,WASHINGTON,4261,12959,TOTAL
2020,TEXAS,WEBB,41820,25898,TOTAL
2020,TEXAS,WHARTON,4694,11926,TOTAL
2020,TEXAS,WHEELER,168,2159,TOTAL
2020,TEXAS,WICHITA,13161,32069,TOTAL
2020,TEXAS,WILBARGER,956,3524,TOTAL
2020,TEXAS,WILLACY,3108,2441,TOTAL
2020,TEXAS,WILLIAMSON,143795,139729,TOTAL
2020,TEXAS,WILSON,6350,18463,TOTAL
2020,TEXAS,WINKLER,358,1753,TOTAL
2020,TEXAS,WISE,4973,27032,TOTAL
2020,TEXAS,WOOD,3509,19049,TOTAL
2020,TEXAS,YOAKUM,420,2174,TOTAL
2020,TEXAS,YOUNG,1034,7110,TOTAL
2020,TEXAS,ZAPATA,1826,2033,TOTAL
2020,TEXAS,ZAVALA,2864,1490,TOTAL
2020,OKLAHOMA,ADAIR,985,4722,ELECTION DAY
2020,OKLAHOMA,ALFALFA,141,1547,ELECTION DAY
2020,OKLAHOMA,ATOKA,454,3319,ELECTION DAY
2020,OKLAHOMA,BEAVER,113,1545,ELECTION DAY
2020,OKLAHOMA,BECKHAM,645,5012,ELECTION DAY
2020,OKLAHOMA,BLAINE,500,2516,ELECTION DAY
2020,OKLAHOMA,BRYAN,2094,10116,ELECTION DAY
2020,OKLAHOMA,CADDO,2024,6146,ELECTION DAY
2020,OKLAHOMA,CANADIAN,9559,35116,ELECTION DAY
2020,OKLAHOMA,CARTER,2816,12126,ELECTION DAY
2020,OKLAHOMA,CHEROKEE,3697,8912,ELECTION DAY
2020,OKLAHOMA,CHOCTAW,684,3356,ELECTION DAY
2020,OKLAHOMA,CIMARRON,46,596,ELECTION DAY
2020,OKLAHOMA,CLEVELAND,23408,46952,ELECTION DAY
2020,OKLAHOMA,COAL,240,1451,ELECTION DAY
2020,OKLAHOMA,COMANCHE,7990,16389,ELECTION DAY
2020,OKLAHOMA,COTTON,246,1486,ELECTION DAY
2020,OKLAHOMA,CRAIG,774,3776,ELECTION DAY
2020,OKLAHOMA,CREEK,4211,19687,ELECTION DAY
2020,OKLAHOMA,CUSTER,1537,6390,ELECTION DAY
2020,OKLAHOMA,DELAWARE,2058,10792,ELECTION DAY
2020,OKLAHOMA,DEWEY,175,1795,ELECTION DAY
2020,OKLAHOMA,ELLIS,112,1356,ELECTION DAY
2020,OKLAHOMA,GARFIELD,2953,13701,ELECTION DAY
2020,OKLAHOMA,GARVIN,1262,7218,ELECTION DAY
2020,OKLAHOMA,GRADY,2479,14786,ELECTION DAY
2020,OKLAHOMA,GRANT,180,1586,ELECTION DAY
2020,OKLAHOMA,GREER,207,1229,ELECTION DAY
2020,OKLAHOMA,HARMON,115,530,ELECTION DAY
2020,OKLAHOMA,HARPER,91,1074,ELECTION DAY
2020,OKLAHOMA,HASKELL,482,3102,ELECTION DAY
2020,OKLAHOMA,HUGHES,662,3194,ELECTION DAY
2020,OKLAHOMA,JACKSON,1011,4894,ELECTION DAY
2020,OKLAHOMA,JEFFERSON,238,1581,ELECTION DAY
2020,OKLAHOMA,JOHNSTON,489,2705,ELECTION DAY
2020,OKLAHOMA,KAY,2683,10483,ELECTION DAY
2020,OKLAHOMA,KINGFISHER,542,4213,ELECTION DAY
2020,OKLAHOMA,KIOWA,452,2076,ELECTION DAY
2020,OKLAHOMA,LATIMER,467,2801,ELECTION DAY
2020,OKLAHOMA,LE FLORE,2202,12389,ELECTION DAY
2020,OKLAHOMA,LINCOLN,1707,9950,ELECTION DAY
2020,OKLAHOMA,LOGAN,2871,11604,ELECTION DAY
2020,OKLAHOMA,LOVE,458,2487,ELECTION DAY
2020,OKLAHOMA,MCCLAIN,2220,12641,ELECTION DAY
2020,OKLAHOMA,MCCURTAIN,1275,7969,ELECTION DAY
2020,OKLAHOMA,MCINTOSH,1367,4938,ELECTION DAY
2020,OKLAHOMA,MAJOR,167,2308,ELECTION DAY
2020,OKLAHOMA,MARSHALL,714,3724,ELECTION DAY
2020,OKLAHOMA,MAYES,2466,10899,ELECTION DAY
2020,OKLAHOMA,MURRAY,591,2948,ELECTION DAY
2020,OKLAHOMA,MUSKOGEE,4685,12899,ELECTION DAY
2020,OKLAHOMA,NOBLE,632,2867,ELECTION DAY
2020,OKLAHOMA,NOWATA,465,2735,ELECTION DAY
2020,OKLAHOMA,OKFUSKEE,586,2448,ELECTION DAY
